file_no	scene_name	character_name	noLines
09	GEORGE’S CAR (MOVING) – CONTINUED	GEORGE	1
09	GEORGE’S CAR – CONTINUED	GEORGE	4
09	GEORGE’S CAR – SATURDAY NIGHT	GEORGE	2
09	JERRY’S APARTMENT	JERRY	12
09	JERRY’S APARTMENT – DAY	ELAINE	15
09	JERRY’S APARTMENT – DAY	GEORGE	18
09	JERRY’S APARTMENT – DAY	JERRY	12
09	JERRY’S APARTMENT – DAY	KRAMER	4
09	JERRY’S APARTMENT – NIGHT	GEORGE	13
09	JERRY’S APARTMENT – NIGHT	JERRY	15
09	JERRY’S APARTMENT – NIGHT	KRAMER	5
09	JERRY’S CAR – CONTINUED	JERRY	3
09	JERRY’S CAR – SATURDAY NIGHT	JERRY	2
09	MONK’S DINER – DAY	GEORGE	44
09	MONK’S DINER – DAY	JERRY	40
10	APARTMENT BUILDING HALLWAY – DAY	GEORGE	3
10	APARTMENT BUILDING HALLWAY – DAY	JERRY	4
10	APARTMENT BUILDING HALLWAY – DAY	KRAMER	2
10	BUILDING’S HALLWAY – CONTINUING	JERRY	6
10	BUILDING’S HALLWAY – CONTINUING	KRAMER	2
10	COMEDY CLUB – NIGHT	JERRY	3
10	JERRY’S APARTMENT – DAY	ELAINE	39
10	JERRY’S APARTMENT – DAY	GEORGE	7
10	JERRY’S APARTMENT – DAY	JERRY	49
10	JERRY’S APARTMENT – DAY	KRAMER	24
10	JERRY’S APARTMENT – NIGHT	ELAINE	3
10	JERRY’S APARTMENT – NIGHT	JERRY	3
10	JERRY’S APARTMENT – NIGHT	KRAMER	1
10	MONK’S DINER – LATER	GEORGE	7
10	MONK’S DINER – LATER	JERRY	8
10	MONK’S DINER – NIGHT	GEORGE	16
10	MONK’S DINER – NIGHT	JERRY	15
10	ROXANNE’S APARTMENT	ELAINE	9
10	ROXANNE’S APARTMENT	GEORGE	10
10	ROXANNE’S APARTMENT	JERRY	14
100and101	Jerry's Apartment	JERRY	2
102	At Elaine's apartment	ELAINE	7
102	At Jerry's apartment.	ELAINE	40
102	At Jerry's apartment.	GEORGE	24
102	At Jerry's apartment.	JERRY	35
102	At Jerry's apartment.	KRAMER	16
102	At Jerry's apartment. He is on the phone.	GEORGE	12
102	At Jerry's apartment. He is on the phone.	JERRY	16
102	At Jerry's apartment. He is on the phone.	KRAMER	11
102	At Monk's.	ELAINE	16
102	At Monk's.	GEORGE	11
102	At Monk's.	JERRY	21
102	At the ballet.	ELAINE	5
102	At the police station	JERRY	1
102	At the police station	KRAMER	1
102	At the police station.	GEORGE	4
102	At the police station.	JERRY	9
102	At the police station.	KRAMER	8
102	At the police station. Kramer is in the lineup.	KRAMER	2
102	At the police station. Kramer is in the lineup.	MAN	2
102	Elsewhere at the police station.	JERRY	6
102	Outside on the street. Jerry and Elaine walking toward each other.	ELAINE	4
102	Outside on the street. Jerry and Elaine walking toward each other.	JERRY	3
103	Hall Outside Jerry's Apartment	JERRY	1
103	Hall Outside Jerry's Apartment	KRAMER	2
103	Hall Outside Kramer's Apartment	JERRY	5
103	Hall Outside Kramer's Apartment	KRAMER	11
103	Jerry's Apartment	ELAINE	16
103	Jerry's Apartment	GEORGE	9
103	Jerry's Apartment	JERRY	43
103	Jerry's Apartment	KRAMER	21
103	Jerry's Apartment/The Seinfeld's Place, Florida	HELEN	2
103	Jerry's Apartment/The Seinfeld's Place, Florida	JERRY	3
103	Jerry's Apartment/The Seinfeld's Place, Florida	MORTY	2
103	Knollridge Nursing Home	JERRY	2
103	Lobby, Jerry's Building	ELAINE	1
103	Lobby, Jerry's Building	JACK	1
103	Lobby, Jerry's Building	JERRY	31
103	Lobby, Jerry's Building	KRAMER	8
103	Monk's	ELAINE	11
103	Monk's	GEORGE	6
103	Monk's	JERRY	11
103	Monk's	KRAMER	6
103	Nana's Apartment	JERRY	7
103	Nursing Home	JERRY	6
103	ProFitness Physical Therapy Center	GEORGE	7
103	ProFitness Physical Therapy Centre	ELAINE	6
103	ProFitness Physical Therapy Centre	GEORGE	10
103	Street	ELAINE	10
103	Street	GEORGE	15
103	Street	JERRY	15
103	The Seinfeld's Place, Florida	HELEN	2
103	The Seinfeld's Place, Florida	MORTY	3
103	Wendy's Car	ELAINE	10
104	Elevator, Mr. Pitt's Building	ELAINE	1
104	Elevator, Mr. Pitt's Building	JERRY	1
104	Estelle's Car	ESTELLE	10
104	Estelle's Car	GEORGE	9
104	George's Apartment	ESTELLE	9
104	George's Apartment	FRANK	37
104	George's Apartment	GEORGE	14
104	George's Apartment	KRAMER	22
104	Jerry's Apartment	ELAINE	12
104	Jerry's Apartment	JERRY	11
104	Lobby, Mr. Pitt's Building	ELAINE	8
104	Lobby, Mr. Pitt's Building	JERRY	24
104	Monk's	ELAINE	12
104	Monk's	GEORGE	14
104	Monk's	JERRY	17
104	Monk's	KRAMER	6
104	Mr. Pitt's Apartment	ELAINE	14
104	Mr. Pitt's Apartment	JERRY	7
104	Sid Farkus' Office	FRANK	9
104	Sid Farkus' Office	KRAMER	9
104	Street	GEORGE	4
104	Street	JERRY	3
104	Street	KRAMER	11
105	Back at the health club Elaine meets Jimmy who is wearing crutches.	ELAINE	6
105	Cuts to Yankee Stadium. George is sitting at his desk eating Kam Pau chicken.	GEORGE	8
105	Elaine at the health club trying to attract the handsome blond guy's attention.	ELAINE	5
105	In a sporting goods store, George tries to make a sale. He is putting on the shoes.	GEORGE	1
105	Kramer is seen running down the street with his vertical lift shoes. He's trying to hail a cab.	KRAMER	7
105	Meeting at Yankee Stadium.	GEORGE	1
105	On the street Jerry and Kramer.	JERRY	1
105	On the street Jerry and Kramer.	KRAMER	2
105	Scene cuts back to Tim Whatley's dental office. Jerry is sitting in the chair.	JERRY	1
105	Scene cuts to Jerry's apartment.	ELAINE	9
105	Scene cuts to Jerry's apartment.	JERRY	5
105	Scene cuts to Jerry's apartment.	KRAMER	10
105	Scene cuts to Monks. Jerry and Elaine are talking.	ELAINE	18
105	Scene cuts to Monks. Jerry and Elaine are talking.	GEORGE	6
105	Scene cuts to Monks. Jerry and Elaine are talking.	JERRY	22
105	Scene cuts to The Marriot for the benefit.	ELAINE	4
105	Scene cuts to The Marriot for the benefit.	KRAMER	7
105	Scene cuts to Tim Whatley's dental office.	JERRY	1
105	Scene cuts to Tim Whatley's office. Kramer is in the chair.	KRAMER	5
105	Scene then cuts back to the health club where Kramer is trying the vertical lift shoes.	GEORGE	3
105	Scene then cuts back to the health club where Kramer is trying the vertical lift shoes.	JERRY	9
105	Scene then cuts back to the health club where Kramer is trying the vertical lift shoes.	KRAMER	13
105	Scene then switches to Jerry's apartment. Elaine is on the phone.	ELAINE	15
105	Scene then switches to Jerry's apartment. Elaine is on the phone.	GEORGE	8
105	Scene then switches to Jerry's apartment. Elaine is on the phone.	JERRY	20
105	Scene then switches to Jerry's apartment. Elaine is on the phone.	KRAMER	11
105	The New York Health Club. Jerry, Kramer and George are getting dressed	GEORGE	15
105	The New York Health Club. Jerry, Kramer and George are getting dressed	JERRY	8
105	The New York Health Club. Jerry, Kramer and George are getting dressed	KRAMER	12
105	We cut back to Yankee stadium in George Steinbrenners office.	GEORGE	7
106	At Shelly's	JERRY	5
106	At the Plaza Hotel	HELEN	3
106	At the Plaza Hotel	JERRY	2
106	At the Plaza Hotel	MORTY	4
106	At Viking again.	ELAINE	2
106	At Viking Press.	ELAINE	4
106	Catches up with Jerry on the street.	ELAINE	3
106	Catches up with Jerry on the street.	JERRY	2
106	Elaine's drawing class	ELAINE	5
106	Finally at The Plaza Hotel	ELAINE	2
106	Jerry's apartment	JERRY	12
106	Jerry's apartment	KRAMER	13
106	Jerry's parents come through the door.	HELEN	2
106	Jerry's parents come through the door.	JERRY	2
106	Jerry's parents come through the door.	MORTY	1
106	Jerry's place . There is a sign on the door that says "Fumigation Do not enter"	ELAINE	11
106	Jerry's place . There is a sign on the door that says "Fumigation Do not enter"	JERRY	12
106	Jerry's place . There is a sign on the door that says "Fumigation Do not enter"	KRAMER	9
106	Kramer and Newman who is coming out of the market eating a peach.	KRAMER	3
106	Kramer and Newman who is coming out of the market eating a peach.	NEWMAN	3
106	Kramer is about to lick an envelope he is about to send.	KRAMER	3
106	Kramer is about to lick an envelope he is about to send.	NEWMAN	1
106	Later at Jerry's	ELAINE	19
106	Later at Jerry's	GEORGE	12
106	Later at Jerry's	JERRY	17
106	Monks	ELAINE	9
106	Monks	KRAMER	9
106	Monks again. George comes in eating a Macanaw peach.	GEORGE	2
106	Monks, next day. George showing Jerry the piece of paper he picked up	ELAINE	12
106	Monks, next day. George showing Jerry the piece of paper he picked up	GEORGE	10
106	Monks, next day. George showing Jerry the piece of paper he picked up	JERRY	12
106	Monks. George walks in wearing velvet.	GEORGE	5
106	Monks. George walks in wearing velvet.	JERRY	6
106	Newman's door . Jerry knocks	JERRY	4
106	Newman's door . Jerry knocks	NEWMAN	4
106	On the street in front of a flower shop	GEORGE	8
106	Outside Elaine's building	ELAINE	6
106	Plaza Hotel	MORTY	1
106	Plaza Hotel, Morty is getting a massage.	HELEN	2
106	Plaza Hotel, Morty is getting a massage.	MORTY	2
106	Restaurant	GEORGE	15
106	Restaurant	JERRY	15
107	At Monk's, George and Estelle are looking over their menus	ESTELLE	10
107	At Monk's, George and Estelle are looking over their menus	GEORGE	14
107	At Monk's, George and Estelle are looking over their menus	KRAMER	8
107	At the motor vehicle bureau...	KRAMER	5
107	Back at Jerry's apartment: Jerry and George have just walked in, still conversing on the same subject	GEORGE	6
107	Back at Jerry's apartment: Jerry and George have just walked in, still conversing on the same subject	JERRY	11
107	Back at Jerry's apartment: Jerry and George have just walked in, still conversing on the same subject	KRAMER	10
107	Back at the Costanza's house, George and Frank are just walking in	ESTELLE	6
107	Back at the Costanza's house, George and Frank are just walking in	FRANK	3
107	Back at the Costanza's house, George and Frank are just walking in	GEORGE	2
107	Back at the Costanzas' house...	ESTELLE	5
107	Back at the Costanzas' house...	FRANK	5
107	Back to Elaine and David in the middle of, uh...you know...	ELAINE	5
107	Back to George and Nancy in bed. George is looking quite pleased with himself. Nancy, on the other hand, looks...bewildered...pleasantly surprised...	GEORGE	7
107	Back to Jerry's apartment	ELAINE	12
107	Back to Jerry's apartment	GEORGE	8
107	Back to Jerry's apartment	JERRY	19
107	Back to Jerry's apartment	KRAMER	2
107	Cut to Frank on the streets. He spots Kramer's car. He looks inside the back window and sees the "Bro"---or is it the "Manssierre"? He checks out the plates	ELAINE	3
107	Cut to Frank on the streets. He spots Kramer's car. He looks inside the back window and sees the "Bro"---or is it the "Manssierre"? He checks out the plates	FRANK	11
107	Cut to Frank on the streets. He spots Kramer's car. He looks inside the back window and sees the "Bro"---or is it the "Manssierre"? He checks out the plates	GEORGE	2
107	Cut to Frank on the streets. He spots Kramer's car. He looks inside the back window and sees the "Bro"---or is it the "Manssierre"? He checks out the plates	JERRY	12
107	Cut to Frank on the streets. He spots Kramer's car. He looks inside the back window and sees the "Bro"---or is it the "Manssierre"? He checks out the plates	KRAMER	10
107	Cut to Kramer heading towards his car. He picks up a note on his windshield and reads it...	ESTELLE	2
107	Cut to Kramer heading towards his car. He picks up a note on his windshield and reads it...	KRAMER	1
107	In the parking lot just outside, Kramer has pulls into a "Doctors Only" space	KRAMER	2
107	Kramer is driving Estelle home	ESTELLE	5
107	Kramer is driving Estelle home	KRAMER	4
107	Later on, at Monk's, Jerry has just come in to meet Elaine. He joins her at the booth	ELAINE	12
107	Later on, at Monk's, Jerry has just come in to meet Elaine. He joins her at the booth	JERRY	14
107	Later, Jerry and George are outside, where Jerry has just bought a candy bar at the newsstand	GEORGE	11
107	Later, Jerry and George are outside, where Jerry has just bought a candy bar at the newsstand	JERRY	12
107	Meanwhile, we join Elaine and David---in bed, I should add. David, who apparently looks satisfied, is still breathless. Elaine, on the other hand, is looking somewhat, preoccupied	ELAINE	3
107	Once again, we join Elaine and David...in bed as usual...doing what they do best	ELAINE	12
107	Opening Scene: Jerry and Elaine are outside, heading towards the apartment building	ELAINE	4
107	Opening Scene: Jerry and Elaine are outside, heading towards the apartment building	JERRY	5
107	We cut to the garage where David Putty is working on a car. Jerry walks in	JERRY	9
107	We join George and Nancy, who are....getting busy under the covers.	GEORGE	4
108	Airplane...	JERRY	8
108	Airport in Ithaca	GEORGE	8
108	Airport in Ithaca	JERRY	13
108	Airport, Jerry enters	JERRY	3
108	Airport, Kramer and a man sitting	KRAMER	7
108	Airport, Kramer is smoking a cigar	ELAINE	4
108	Airport, Kramer is smoking a cigar	KRAMER	7
108	Airport, Kramer is smoking a cigar	NEWMAN	1
108	Airport... 	KRAMER	9
108	Airport... 	NEWMAN	8
108	At George's office, Carl enters	GEORGE	6
108	At Mr. Pitt's...	ELAINE	2
108	At the airport...	KRAMER	3
108	At the restaurant, George and Carl enter. They see Mr. Morgan.	GEORGE	2
108	At the Yankee's office	GEORGE	3
108	Backstage at Comedy Club in Ithaca	JERRY	5
108	Comedy club	JERRY	4
108	In rental car... Katie is driving and Jerry is asleep	JERRY	5
108	Jerry and Katie sitting in the plane	JERRY	2
108	Jerry's apartment, Jerry is talking on the phone	ELAINE	7
108	Jerry's apartment, Jerry is talking on the phone	GEORGE	8
108	Jerry's apartment, Jerry is talking on the phone	JERRY	11
108	Mr. Pitt's	ELAINE	4
108	Mr. Pitt's	MAN	2
108	Mr. Pitt's	WOMAN	3
108	Mr. Pitt's office, Elaine enters and Mr. Pitt is sitting at his desk.	ELAINE	6
108	Mr. Pitt's, Jerry is on the phone with Ms. Walker	ELAINE	5
108	Mr. Pitt's, Jerry is on the phone with Ms. Walker	JERRY	5
108	Mr. Pitt's, Jerry is on the phone with Ms. Walker	WOMAN	1
108	Mr. Pitt's. Pitt is in bed with Ms. Walker standing beside him. The T.V. is on.	JERRY	1
108	Mr. Pitt's...	ELAINE	2
108	Newman arrives at the airport with a bag	KRAMER	5
108	Newman arrives at the airport with a bag	NEWMAN	7
108	On street, George and another man pick up newspaper	GEORGE	3
108	On street, George and another man pick up newspaper	MAN	2
108	Restaurant	GEORGE	3
109	Elaine and Puddy are at Elaine's apartment.	ELAINE	8
109	Elaine and Puddy are at Elaine's apartment.	PUDDY	9
109	Elaine is at Puddy's apartment, waiting in the living room while he gets ready.	ELAINE	11
109	Elaine is at Puddy's apartment, waiting in the living room while he gets ready.	KRAMER	3
109	Elaine is at Puddy's apartment, waiting in the living room while he gets ready.	PUDDY	12
109	Elaine's apartment, Elaine and Puddy are making out. She unbuttons his shirt and notices something peculiar.	ELAINE	4
109	Elaine's apartment, Elaine and Puddy are making out. She unbuttons his shirt and notices something peculiar.	PUDDY	3
109	Exterior shot of MSG marquee announcing the Rangers vs Devils playoff game tonight. Cut to some on-ice action, then to the cheap seats where Puddy, Jerry and Kramer are seated, shirtless.	PUDDY	1
109	George and his date are talking in his car.	GEORGE	4
109	George and Siena are making out in his car.	GEORGE	2
109	George and Siena are sitting in the car again. They're listening to the hockey game on the radio.	GEORGE	3
109	Jerry and Elaine are at the coffee shop.	ELAINE	8
109	Jerry and Elaine are at the coffee shop.	JERRY	12
109	Jerry and Elaine are back at his apartment.	ELAINE	11
109	Jerry and Elaine are back at his apartment.	GEORGE	14
109	Jerry and Elaine are back at his apartment.	JERRY	19
109	Jerry and Elaine are back at his apartment.	KRAMER	6
109	Jerry and George are at Jerry's apartment.	GEORGE	9
109	Jerry and George are at Jerry's apartment.	JERRY	8
109	Jerry and George are at Jerry's apartment.	KRAMER	6
109	Jerry and George are at the coffee shop.	GEORGE	8
109	Jerry and George are at the coffee shop.	JERRY	7
109	Jerry and George are still at Jerry's apartment, some time has passed.	GEORGE	2
109	Jerry and George are still at Jerry's apartment, some time has passed.	JERRY	10
109	Jerry and George are still at Jerry's apartment, some time has passed.	KRAMER	10
109	Jerry enters his apartment carrying a bag of groceries. As soon as Jerry closes the door, we hear Kramer's door open and close. That moment, Kramer walks in.	JERRY	14
109	Jerry enters his apartment carrying a bag of groceries. As soon as Jerry closes the door, we hear Kramer's door open and close. That moment, Kramer walks in.	KRAMER	14
109	Jerry is sitting alone in his apartment waiting for Alec to call. The phone rings, Jerry answers.	JERRY	1
109	Jerry is still waiting for the phone call. Kramer enters.	JERRY	5
109	Jerry is still waiting for the phone call. Kramer enters.	KRAMER	2
109	Jerry, Elaine, Kramer and Puddy are walking on the street after the game. The Devils must have won because Puddy is gloating.	KRAMER	1
109	Jerry, Elaine, Kramer and Puddy are walking on the street after the game. The Devils must have won because Puddy is gloating.	PUDDY	2
109	Kramer is at the zoo, talking with Barry, the monkey.	KRAMER	1
109	Kramer is in the office at the zoo.	KRAMER	9
109	Madison Square Garden, the four of them are at the game. Three are seated, Puddy has his face pressed against the glass as there's action in his corner.	ELAINE	1
109	Madison Square Garden, the four of them are at the game. Three are seated, Puddy has his face pressed against the glass as there's action in his corner.	PUDDY	4
109	Riverside Gramercy Chapel. Jerry and Elaine are at Gary Fogel's funeral.	ELAINE	7
109	Riverside Gramercy Chapel. Jerry and Elaine are at Gary Fogel's funeral.	JERRY	8
109	The El Salvadoran priest is in his bedroom, another priest is at his bedside.	ELAINE	1
11	COMEDY CLUB – NIGHT	JERRY	3
11	JERRY’S APARTMENT	ELAINE	3
11	JERRY’S APARTMENT	JERRY	5
11	JERRY’S APARTMENT – DAY	ELAINE	11
11	JERRY’S APARTMENT – DAY	GEORGE	34
11	JERRY’S APARTMENT – DAY	JERRY	35
11	JERRY’S APARTMENT – DAY	KRAMER	22
11	MONK’S DINER – DAY	GEORGE	22
11	MONK’S DINER – DAY	JERRY	26
11	PENDANT PUBLISHING ELEVATOR – CONTINUING	ELAINE	6
11	PENDANT PUBLISHING ELEVATOR – CONTINUING	MAN	2
11	PENDANT PUBLISHING LOBBY – DAY	ELAINE	6
11	PENDANT PUBLISHING – LATER	ELAINE	1
11	RAVA & RAY’S APARTMENT – DAY	ELAINE	14
11	RAVA & RAY’S APARTMENT – DAY	JERRY	18
11	RAVA & RAY’S APARTMENT – DAY	KRAMER	8
110	Audience	ELAINE	2
110	Backstage	JERRY	6
110	Baseball diamond - George at bat	GEORGE	2
110	Baseball diamond - George at bat	JERRY	3
110	Baseball diamond - George at bat	KRAMER	2
110	Baseball diamond in the park	ELAINE	8
110	Baseball diamond in the park	GEORGE	1
110	Baseball diamond in the park	JERRY	13
110	Baseball diamond in the park	KRAMER	8
110	Bette's hospital room - Kramer enters	GEORGE	2
110	Bette's hospital room - Kramer enters	JERRY	2
110	Bette's hospital room - Kramer enters	KRAMER	10
110	First Italian ice cream seller	KRAMER	1
110	Frank's car	FRANK	3
110	Hospital room	KRAMER	4
110	In Taxi	GEORGE	3
110	In Taxi	JERRY	4
110	Jerry's Apartment	JERRY	3
110	Jerry's Apartment	KRAMER	3
110	Monk's	ELAINE	5
110	Monk's	FRANK	6
110	Monk's	GEORGE	1
110	Music from the movie "Beaches" playing on TV in the background)… "You'll never know ….	JERRY	1
110	Nail Parlour	ELAINE	2
110	Nail Parlour	FRANK	6
110	Next day, Jerry and George enter Jerry's apartment	GEORGE	7
110	Next day, Jerry and George enter Jerry's apartment	JERRY	11
110	Next day, Jerry and George enter Jerry's apartment	KRAMER	8
110	On rainy street at night	ELAINE	7
110	On rainy street at night	PETERMAN	6
110	Outside Broadway Theater	ELAINE	9
110	Outside Broadway Theater	JERRY	7
110	Restaurant	ELAINE	2
110	Restaurant	PETERMAN	3
110	Ruby's Nail Parlor  - Korean language in quotes	ELAINE	4
111	Apiphany scene - on the pier	GEORGE	1
111	At Elaine's. She's trying to get some rest.	ELAINE	1
111	At Jerry's. 	ELAINE	8
111	At Jerry's. 	JERRY	7
111	At JERRY:'s. He's on the phone	JERRY	11
111	At JERRY:'s. He's on the phone	KRAMER	11
111	At the theater	GEORGE	2
111	At the theater	JERRY	2
111	At the theater	SUSAN	2
111	back of a Cop car	ELAINE	1
111	back of a Cop car	KRAMER	1
111	back of a Cop car	NEWMAN	1
111	Cop at Newman's door	NEWMAN	1
111	Elaine's .- makes phone call	ELAINE	1
111	Elaine's .- makes phone call	NEWMAN	1
111	Elaine's bedroom - dog barking	ELAINE	1
111	George is on the phone.	FRANK	8
111	George is on the phone.	GEORGE	7
111	George is on the phone.	SUSAN	4
111	George's Apartment	GEORGE	2
111	George's.	GEORGE	8
111	George's.	JERRY	7
111	George's.	SUSAN	2
111	GEORGE: is still at the pier. His thoughts shift somewhat.	GEORGE	1
111	In the van	ELAINE	1
111	In the van	KRAMER	2
111	In the van	NEWMAN	2
111	In the van.	ELAINE	11
111	In the van.	KRAMER	7
111	In the van.	NEWMAN	7
111	Jerry's on the phone with his newly imprisoned buddy, Georgie.	GEORGE	7
111	Jerry's on the phone with his newly imprisoned buddy, Georgie.	JERRY	5
111	Jerry's on the phone with his newly imprisoned buddy, Georgie.	SUSAN	2
